gene_symbol	n_pair_gene_records	n_pair_definitions	n_phenotype_domains	pair_list	phenotype_domain_list	n_GeneA_records	n_GeneB_records	strict_positive_record_count	best_tissue_list	min_best_twas_p	min_best_twas_fdr
ARRB2	1	1	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	1	0	1	Spleen	3.15e-06	1.995e-05
BCKDK	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Skin_Sun_Exposed_Lower_leg	1.5e-06	1.2796666666666667e-05
BCL7C	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Cells_Cultured_fibroblasts	1.75e-06	9.625e-06
C15orf61	1	1	1	ALLERGIC_RHINITIS_GCST90038664__K11_COELIAC	autoimmune_IBD	1	0	1	Artery_Aorta	9.67e-05	0.0002901
CD274	1	1	1	NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE	ENT_infection	0	1	1	Nerve_Tibial	0.000238	0.000702
CHAC1	1	1	1	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	atopic_allergic	1	0	1	Artery_Tibial	0.00102	0.0034
CTF1	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Artery_Coronary	2.9e-05	4.35e-05
CTSS	1	1	1	NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	ENT_infection	1	0	1	Minor_Salivary_Gland	1.72e-07	3.44e-07
EIF2D	1	1	1	NASAL_POLYPS_GCST90018883__K11_IBD_STRICT	autoimmune_IBD	0	1	1	Nerve_Tibial	0.000889	0.007112
EXD1	1	1	1	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	atopic_allergic	1	0	1	Testis	0.0042	0.0152249999999999
EXT1	1	1	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	1	0	1	Testis	0.00749	0.0213176923076923
F11R	1	1	1	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA	asthma_lower_airway	0	1	1	Prostate	5.58e-05	0.000279
FBRS	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Nerve_Tibial	3.85e-05	0.0001155
FBXL19	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Heart_Left_Ventricle	5.84e-05	0.0001022
FCER1G	1	1	1	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA	asthma_lower_airway	0	1	1	Cells_Cultured_fibroblasts	1.92e-08	1.024e-07
GLTPD2	1	1	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	1	0	1	Brain_Anterior_cingulate_cortex_BA24	0.00546	0.01274
HORMAD1	1	1	1	NASAL_POLYPS_GCST90018883__J10_CHRONTONSADEN	ENT_infection	1	0	1	Testis	0.000405	0.000945
HSD3B7	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Adrenal_Gland	1.85e-06	1.295e-05
IL21R	1	1	1	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA	asthma_lower_airway	0	1	0	Artery_Tibial	0.0249	0.0604714285714285
INO80	1	1	1	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	atopic_allergic	1	0	1	Cells_Cultured_fibroblasts	0.000481	0.0026455
IRF4	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	0	1	1	Adipose_Subcutaneous	3.3e-06	1.21e-05
ITGA7	1	1	1	NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID	autoimmune_IBD	0	1	0	Heart_Left_Ventricle	0.0447	0.0447
ITSN2	1	1	1	NASAL_POLYPS_GCST90018883__K11_IBD_STRICT	autoimmune_IBD	1	0	1	Brain_Cerebellum	0.000439	0.002195
KAT8	1	1	1	NASAL_POLYPS_GCST90018883__L12_PSORIASIS	autoimmune_IBD	1	0	1	Brain_Caudate_basal_ganglia	2.09e-07	8.36e-07
LMBRD2	1	1	1	ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS	atopic_allergic	0	1	1	Pancreas	0.000171	0.0009405
MLANA	1	1	1	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	0	1	1	Spleen	0.000133	0.0004186666666666
MLLT11	1	1	1	NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG	asthma_lower_airway	0	1	1	Pituitary	2.17e-05	9.982e-05
NCMAP	1	1	1	NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	asthma_lower_airway	0	1	1	Brain_Anterior_cingulate_cortex_BA24	0.000648	0.002916
